Property Type,Building Size,Address,Property Price,Property Description,Ant Tabs Content,City,Crime_Rate_Percentage,Currency,Bedrooms,Bathrooms,Published On Formatted,Published Date,Last Updated On Formatted,Last Updated Date
House,1991.32,"50A Lanark Avenue, Toronto, Ontario M6C2B4",3585.0,"Be the first To live in This Brand New 3-Storey Ultra-Custom Home. 4 Bedroom & 4 Bathroom sun-drenched gem only a few steps from Eglinton Station, Cedarvale Park, Leo Baeck, Restaurants And More. Main floor mud room, with large entrance closet and Powder Room. Custom-built eat-in kitchen with an entire separate floor to ceiling pantry wall for ample storage. Oversized Master Bedroom With tons of natural light, His/Her Custom millwork Closets, Free-Standing Tub, Double Vanity and oversized glass shower. Each of the other 3 bedrooms have built-in closets. Private backyard with bbq line for your exclusive use. Short or long term rental. EXTRAS This is a brand new home, which means all fire and sound codes have been integrated, including double 5/8 fire/sound rated drywall, Roxul fire/sound insulation and metal channels to further enhance sound separation","Basic Info
Property Type
House
Building Size
1,991.32 sq ft
Rooms
4 bedroom(s), 4 bathroom(s)
Address
50A Lanark Avenue, Toronto, Ontario M6C2B4",toronto,60.39,USD,4,4,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,1496.18,"Main an - 15 Haskell Crescent, Aurora, Ontario L4G5T6",3084.0,"Fabulous 3+2 Bed rooms Bungalow, with three brand new full wash rooms and 4 parking 3 on driveway and one in garage and storage place in garage. EXTRA! new construction with a great 2 standing shower wash room and one is bath tub , in basement one room can use as office room , having living area with bar desk for guest entertaining, separate laundry with great living area IN BASEMENT AND MAIN FLOOR.Great apportunity to live wth extended family do work from home in separate room . Accessible Home W/ Wheelchair Lift FROM GARAGE, Sun-Filled Eat-In Kitchen & W/O To New Deck, Cozy Family Rm W/beautiful Electric Fireplace, Grand Primary Bedroom W/ 3pc Ensuite & W/I Closet, Large Backyard W/ Sunny South Exposure. Enjoy Summers On Your Deck Surrounded By Your Private Treed Backyard & Gardens. Close To Amenities, Top Rated Catholic & Public Elementary Schools, Case Woodlot Walking Trails, & Public Transit","Basic Info
Property Type
House
Building Size
1,496.18 sq ft
Rooms
5 bedroom(s), 3 bathroom(s)
Address
Main an - 15 Haskell Crescent, Aurora, Ontario L4G5T6",aurora,36.2,USD,5,3,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,893.4,"810 - 15 Fort York Boulevard, Toronto, Ontario M5V3Y4",2295.0,"Very Bright Corner S/E Unit W/Lake & City View. 2 Bedroom + Den, 2 Full Washrooms. Split Bedrooms Suitable To Share. One Parking Space, One Locker Included. Indoor Swimming Pool, The Most Luxurious Facilities, Large Jacuzzi W/Large Patio Overlooking Lake & Luxury Party Room, Meeting Room, Theatre, Sobeys, Across From 8 Acres Of Park, 4 Banks, Street Cars At Door To Union Station.","Basic Info
Property Type
House
Building Size
893.40 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
810 - 15 Fort York Boulevard, Toronto, Ontario M5V3Y4",toronto,60.39,USD,2,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,1496.18,"933 Asleton Boulevard, Milton, Ontario L9T8R8",2797.0,"FULLY FURNISHED Home In Heart Of Milton, Comfortable, Attractive, Short/Long Term Accommodation. Clean, Well Furnished, Equipped Kit. With Brand Appliances, Bright And Spacious In A Very Quiet And Cozy Neighborhood. Excellent Location, Walking Distance To Parks, Sports Centers, Transit, And All The Amenities, Only Within Minutes Drive To Oakville And Mississauga.","Basic Info
Property Type
House
Building Size
1,496.18 sq ft
Rooms
4 bedroom(s), 3 bathroom(s)
Address
933 Asleton Boulevard, Milton, Ontario L9T8R8",milton,48.05,USD,4,3,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,699.65,"505 - 25 Times Avenue, Markham, Ontario L3T7X5",1793.0,"Come And Check Out This Bright And Spacious 739SF 1 Bedroom + Den + 2 Bathrooms + An Underground Parking Space In A Beautifully Maintained Mid-Rise Condominium Complex In Highly Desirable Richmond Hill And Thornhill Border Nestled In A Prime Location With Steps To Public Transportation, Restaurants, Shops, Parks, Etc Carpets Free ThroughOut Unit - Perfect For Allergy Sufferers Enclosed Den Can Be Bedroom #2 / Office / Music Room / Etc. Excellent Rental For Newly Weds, Young And/Or Small Families, York University Students, Retirees, Etc. Very Clean & Well Maintained By Existing Tenant - Move In Condition Extremely Convenient And A Very High Demand Location Too!","Basic Info
Property Type
House
Building Size
699.65 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
505 - 25 Times Avenue, Markham, Ontario L3T7X5",markham,76.06,USD,2,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,592.02,"221 - 543 Richmond Street W, Toronto, Ontario M5V1Y6",1757.0,"Welcome To Urban Living Brand New Condo At Its Finest In The Heart Of Downtown Toronto! This Spacious 685 SQ FT And Stylish 1+Den, 2 Full Bath Condo, The den Is Generously Sized And Can Easily Serve As A Second Bedroom Seperate Room & Sliding Doors At 543 Richmond Offers Modern Comfort With A Functional Layout And West-facing Views. Rare 10 ft Ceilings in A Downtown Condo. Modern Kitchen With Stone Counter. Beautiful Glass Shower In Ensuite. Just Across the Street From Loblaws Grocery And Winners, Minutes From The Vibrant Entertainment District, Restaurants, Boutique Shops, Dog Parks, Queen St, TTC, This Prime Setting Offers an Ideal Mix Of Convenience and Fun. Enjoy Top-Notch Amenities: 24-Hour Concierge, Free Visitor Parking, A State-Of-The-Art Fitness Center With Modern Equipment, A Stunning Lounge and Party Room, A Games Room, An Outdoor BBQ Terrace And Pool, As Well As A Rooftop Terrace Showcasing The City Skyline10Ft Smooth Ceilings, Wide Plank Laminate Flooring, Stainless Steel Kitchen Appliances, Quartz Counter Tops.","Basic Info
Property Type
House
Building Size
592.02 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
221 - 543 Richmond Street W, Toronto, Ontario M5V1Y6",toronto,60.39,USD,2,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,2497.23,"Upper - 1919 Aldermead Road, Mississauga, Ontario L5M3A1",2833.0,"Tastefully Renovated, Bright, Spacious, 4 Bed House In A Highly Sought-After, Top School Neighbourhood (John Fraser) On A Quiet Child Safe Street. No Carpets, High-End Kitchen & Island With Quartz Countertop & Backsplash With All New Ss Appliances. Brand-New Large Windows. Beautiful Backyard With Relaxing Deck. Close To The Woodland Chase River Trail. Public Transport. (Upper Tenant Pays 70% Of All Utilities).","Basic Info
Property Type
House
Building Size
2,497.23 sq ft
Rooms
4 bedroom(s), 3 bathroom(s)
Address
Upper - 1919 Aldermead Road, Mississauga, Ontario L5M3A1",mississauga,93.29,USD,4,3,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,1496.18,"BASEMEN - 12 Shippigan Crescent, Toronto, Ontario M2J2G2",1148.0,"Furnished/Short Term. This cozy basement apartment is available for lease in a peaceful North York neighborhood, offering a quiet retreat while being conveniently close to Seneca College, IKEA, and major highways (401 & 404). It's also just minutes from Fairview Mall, making shopping and amenities easily accessible. Public transportation is a breeze with TTC subway and bus stops only a short walk away, perfect for students or professionals who rely on transit. The tenant will be responsible for 1/3 of the utilities and must provide tenant insurance(minimum liability is acceptable too). Please note, there is no parking available with the unit. This is an excellent opportunity for anyone looking for a comfortable, well-connected living space in the TTC/subway line. Don't miss this opportunity to live in this freshly renovated with separate entrance unit.","Basic Info
Property Type
House
Building Size
1,496.18 sq ft
Rooms
1 bedroom(s), 1 bathroom(s)
Address
BASEMEN - 12 Shippigan Crescent, Toronto, Ontario M2J2G2",toronto,60.39,USD,1,1,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,796.53,"215 - 300 Manitoba Street, Toronto, Ontario M8Y4G6",2152.0,"Experience authentic loft living in this stunning, south-facing, 2-storey hard loft at Mystic Pointe! This spacious and bright unit features soaring 17-ft ceilings, large windows, pot lights, and remote-controlled blinds, creating an open and airy atmosphere filled with natural light. Unique layout with 2 bathroomsa convenient 2-piece on the main level and a 3-piece upstairs.Enjoy the charm of a true hard loft with historic roots in the former L.J. McGuinness Distillers building, now thoughtfully updated for modern living. The custom kitchen boasts quartz countertops, tile flooring, stainless steel appliances, built-in microwave, breakfast bar, and a cozy fireplace for added warmth and style.The generous primary bedroom includes custom built-ins with tons of storage. One parking spot is includedlocated on the same level as the unit, so no elevator neededplus a locker for extra storage.Building amenities include a beautifully maintained rooftop garden, fully equipped gym, and more. Located in a vibrant neighborhood with a new park, steps to the lake, and excellent commuting options including GO, TTC, and easy highway access.This is truly a one-of-a-kind lease opportunitydont miss it!","Basic Info
Property Type
House
Building Size
796.53 sq ft
Rooms
1 bedroom(s), 2 bathroom(s)
Address
215 - 300 Manitoba Street, Toronto, Ontario M8Y4G6",toronto,60.39,USD,1,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,592.02,"602 - 335 Wheat Boom Drive, Oakville, Ontario L6H7Y1",1721.0,"Welcome to this sparkling unit in Minto Oakvillage with an open-concept design. This unitcountertops, and upgraded laminate.offers a spacious layout, a gourmet kitchen, a luxurious bathroom, smart digital home controlsand keyless entry. Ideally located of easy accessibility for commuters, providing easy accessOffers anytime with 24-hour irrevocable as per landlord.to all major highways, GO train and the hospital. $14, 000 was spent in upgrades, quartz countertops","Basic Info
Outdoor Feature
Property Type
House
Building Size
592.02 sq ft
Rooms
1 bedroom(s), 1 bathroom(s)
Address
602 - 335 Wheat Boom Drive, Oakville, Ontario L6H7Y1",oakville,71.94,USD,1,1,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,796.53,"110 - 271 Sea Ray Avenue, Innisfil, Ontario L9S0M3",1792.0,"Rare Ground floor Corner unit with Large Terrace. Easy in and out access just steps to the boardwalk and all ameneties. This corner 2 bedroom, 2 bathroom unit has plenty of lighting, large windows in every room, Laminate flooring thru-out, Bright kitchen with walk out to terrace, Granite countertop, Built in Closet, - Furnished option available","Basic Info
Property Type
House
Building Size
796.53 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
110 - 271 Sea Ray Avenue, Innisfil, Ontario L9S0M3",innisfil,60.39,USD,2,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,2497.23,"6 William Luck Avenue, East Gwillimbury, Ontario L0G1R0",2582.0,"Detached 2 Story , Main & Second Floor :4 Bedroom plus an office in main floor, Dining room , Family room open to Kitchen, Hardwood main floor .Tenants will pay 65% of Total utility ( including hot water tank rental fee )of the house.","Basic Info
Property Type
House
Building Size
2,497.23 sq ft
Rooms
5 bedroom(s), 4 bathroom(s)
Address
6 William Luck Avenue, East Gwillimbury, Ontario L0G1R0",east gwillimbury,60.39,USD,5,4,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,990.28,"210 - 400 Hopewell Avenue, Toronto, Ontario M6E2S2",2152.0,"Welcome to Baker Street Residences! This bright and spacious upgraded 2 bedroom, 2 bathroom townhome is located in the heart of Briar Hill, right off of the York Beltline Trail and adjacent to Walter Saunders Memorial Park. The corner unit boasts 1050 sq ft of living space designed to blend style, comfort, and convenience. The well-designed, open concept layout creates an inviting space for both relaxation and entertainment. This home features a modern kitchen with stainless steel appliances, granite counters and 9 foot ceilings. The large windows flood the home with natural light, and the 200 sq ft private rooftop terrace with gas BBQ hookup is a perfect spot to enjoy al fresco dining, while taking in the views of the City skyline. Conveniently located in a vibrant neighbourhood with many shops and restaurants, it's just a short walk to Eglinton West subway station and the upcoming Oakwood LRT Station. A rare opportunity to live in a spacious townhome in a sought-after location. A must see!","Basic Info
Outdoor Feature
Property Type
House
Building Size
990.28 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
210 - 400 Hopewell Avenue, Toronto, Ontario M6E2S2",toronto,60.39,USD,2,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,699.65,"101 Eastville Avenue, Toronto, Ontario M1M2N8",2582.0,"Right Next To The Bluffers Park And Beach!!! You Can Walk To There!!! Fully Renovated Charming 3 +1 Bdr, 2 Fully Upgraded Bathrooms, Hardwood Floor Throughout, Above Grade Walkout Basement, A Rare Offer In The Bluffs' Cliffcrest Community. Walking Distance To Sought After Schools; Fairmount P.S.(Jk-8), R.H. King Academy And St. Agatha (French Immersion, Jk-8). Large Backyard. One Bus To University of Toronto Scarborough Campus And Pan Am Centre Or Warden Station. 5 Mins Drive To Scarborough Go.","Basic Info
Property Type
House
Building Size
699.65 sq ft
Rooms
4 bedroom(s), 2 bathroom(s)
Address
101 Eastville Avenue, Toronto, Ontario M1M2N8",toronto,60.39,USD,4,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,592.02,"1603W - 3 Rosewater Street, Richmond Hill, Ontario L4C5T6",2008.0,"This luxury 2 Bedroom, 2 Washrooms North-East corner Unit with spectacular unobstructed view , floor to ceiling windows for lots of natural Lights on high floor Comes With Locker And Parking, open concept and functional split bedroom layout, 9Ft Smooth Finished Ceiling , Wide Plank Lami nate Wood Floors, Spacious Bathrooms With Rain-Head Shower & Walk-Out Balc ony, modern Finishes with Kitchen Quartz Countertop and cent re island, Backsplash, Stainless steel Appliances, Mirrored Closet in prime bedroom.It is Located At Brand New Luxury 'Westwood Gardens' Con do In Prestigious South Richvale, In The Prime Location At Yonge & Hwy 7 & 407 , Steps To Schools, Parks, Go Station, Shops, Restaurants, Wal mart, LCBO and Much more. Building Amenities: Fitness Centre, Yoga Studio, Basketball Court, Media Lounge with Free Wifi, Catering Kitchen, Sauna, Party Room, Rooftop Terrace, Electric Vehicle Charging Station, Dog-Washing Stations and More","Basic Info
Property Type
House
Building Size
592.02 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
1603W - 3 Rosewater Street, Richmond Hill, Ontario L4C5T6",richmond hill,60.39,USD,2,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,699.65,"701 - 100 Hayden Street, Toronto, Ontario M4Y3C7",2288.0,"Welcome To Yonge & Bloor... FULLY FURNISHED & EQUIPPED!!! (771 Square Feet) Condo On Quiet Hayden St Off Yonge & Bloor !!! LUXURY Executive Corner Suite On The 7th Floor @ The Boutique Bloor Walk Low Rise Building On A Quiet Dead End Street. Steps To Bloor Subway & Yonge St... 5 Minute Walk To Hospitals & Exciting Yorkville, 10 Minute Walk To University Of Toronto & Toronto Metropolitan University (Ryerson University). Steps To Luxury Bloor Street Shopping, Longo's Grocery, WalkScore99. Overlooking Rosedale Corridor & Architecture of St. Paul's Church. Squeaky Clean & Freshly Painted 2 Bedrooms, Primary Bedroom with Queen Bed and Ensuite Bathroom Plus 2nd Bedroom with Single Bed. Includes All Bedding & Linens, Towels etc. . Kitchen With Breakfast Bar is Completely Equipped with All Appliances, Cookware, Dishes, Utensils, Glassware etc. OpenConcept FloorPlan with Double Sliding Doors Off Living To Enjoy Coffee On Your Balcony. Features 9 Foot Ceilings, Tons Of Natural Daylight. Hardwood Floors Everywhere! No Carpets! Includes Ensuite Washer/Dryer, All Blinds. Quiet 21 Storey Low Rise Building With Little Turnover! Ideal For Doctors, International Students, or Quiet Work At Home Space!!! Great Amenities With InDoor Pool, Hot Tub, Newly Renovated Gym, RoofTop Deck, Library, Party Room, Billiards Room, 24Hr Security, High Demand Building On A Street Tucked Away From Yonge & Bloor Yet Next To Everything You Require! Upscale & Stylish Suite Fully Furnished & Stocked With All Housewares, Bedding & Linens, Towels, Kitchen Items & Ready To Occupy! Just Roll In Your Suitcase & Enjoy! Plenty Of Visitor Parking With Entrance At 28 Ted Roger's Way, Couture Building. Next To Manulife Building. Excellent Daycares Close By!!! Enjoy The Secret Pocket Of Luxury Living !!!! 24 Hrs Notice For Showings Please.","Basic Info
Outdoor Feature
Property Type
House
Building Size
699.65 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
701 - 100 Hayden Street, Toronto, Ontario M4Y3C7",toronto,60.39,USD,2,2,07/05/2025,2025-05-07,09/05/2025,2025-05-09
House,893.4,"56 Lakeside Terrace, Barrie, Ontario L4M7B9",1721.0,"Best priced 2 bedroom! Over 900sqft. Open concept and spacious 2 Bed, 2 Bath directly overlooking Little Lake in Lakevu Condo's brand new phase 2. Direct water views from every window in this beautiful condo. Custom blinds and keypad door entry (great option if you forgot your keys). Comes with 1 parking spot. Steps away from shopping, Georgian College, Royal Victoria Hospital, and Hwy 400. Amenities include a gym, party room, games room, Rooftop Lounge With BBQ Area Overlooking Little Lake, Pet Wash Station, Guest Suite, and security guard.","Basic Info
Outdoor Feature
Property Type
House
Building Size
893.40 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
56 Lakeside Terrace, Barrie, Ontario L4M7B9",barrie,48.54,USD,2,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,1194.79,"801 - 7 Fairbank Avenue, Toronto, Ontario M6E3Y5",2690.0,"Welcome to the one-of-a-kind penthouse suite on the top floor of a newly built & professionally managed building - The Cricket Park in the heart of bustling Dufferin & Eglinton. This sun-filled and spacious corner 3 bedroom 2 bathroom unit is perfectly laid out for a larger urban family or a group of friends looking to become roommates. Featuring floor to ceiling windows with smart power blinds, top of the line laminate flooring throughout, full-size stainless steel appliances, ensuite laundry and a massive 1000+ Sq Ft private rooftop terrace to enjoy those warm and summer nights. Building features a party room, work from home lounge and outdoor terrace with BBQ. Steps away from TTC, Eglinton LRT, parks, trails, major supermarkets, banks, restaurants, bars and other entertainment. EXTRAS All existing appliances are included. Utilities are extra. Street parking permits are available through the city.","Basic Info
Property Type
House
Building Size
1,194.79 sq ft
Rooms
3 bedroom(s), 2 bathroom(s)
Address
801 - 7 Fairbank Avenue, Toronto, Ontario M6E3Y5",toronto,60.39,USD,3,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,796.53,"1007 - 55 Strathaven Drive, Mississauga, Ontario L5R4G9",2044.0,"All Utilities Included In Rent Price !!Prime Mississauga Location!! Large And Spacious 2 Bedroom/2 Full Bathroom Apartment Perfectly Situated At The Major Intersection Hurontario & Eglinton. Large Open Concept Living And Dining With W/O To Balcony For Stunning South-West View Of The City. Located At The Heart Of Mississauga And Mins Close To Schools, Shopping Centers (Square 1), Grocery Stores, Public Transit (Local Bus, Go Bus, Go Trains, Eventual Hurontario Lrt!!), Major Banks, And Major Highways. Concierge, Fitness Room, Library, Party Room, Meeting Room, Easy Outdoor Visitor Parking.","Basic Info
Outdoor Feature
Property Type
House
Building Size
796.53 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
1007 - 55 Strathaven Drive, Mississauga, Ontario L5R4G9",mississauga,93.29,USD,2,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,699.65,"506 - 372 Highway 7 Street E, Richmond Hill, Ontario L4B0C6",1779.0,"Luxury Royal Gardens Condo At Center Of Richmond Hill. Spacious 1 Br Plus Den, Facing South. 700 sq.ft. plus 45sq.ft. Open Balcony w/Unobstructed View. 9' Ceiling. Laminate Floor Throughout. Modern Open Concept Kitchen. Total TWO (2) Washrooms! Large Primary Bedroom W/4 Pc Ensuite Washroom & Walk-in Closet. Spacious Den W/ Closet As Well. Steps to Public Transit, Restaurants, Supermarket, Parks. Minutes to Hwy 404 & 407. ONE (1) Parking & ONE (1) Locker Included.","Basic Info
Property Type
House
Building Size
699.65 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
506 - 372 Highway 7 Street E, Richmond Hill, Ontario L4B0C6",richmond hill,60.39,USD,2,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,893.4,"3102 - 8 York Street W, Toronto, Ontario M5J2Y2",2582.0,"Spectacular Corner Suite W/Soaring 9Ft Ceilings. This Spacious 2 Bed/2 Washrooms, 1 Locker +1 Parking Suite Boasts Stunning CN tower, City Skyline & Partial Lake Views. Sunshine Filled W/Windows In Every Room, Open Balcony. Prime Location In The Heart Of Toronto's Waterfront. Min To Union Station, Scotiabank Centre & Rogers Centre Financial/ Entertainment Districts, Harbourfront Centre & More. Easy Access To Gardiner, Lakeshore & Bike/Walk Paths Along The Waterfront.","Basic Info
Property Type
House
Building Size
893.40 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
3102 - 8 York Street W, Toronto, Ontario M5J2Y2",toronto,60.39,USD,2,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,1097.92,"2084 White Dove Circle, Oakville, Ontario L6M3R6",2546.0,"Welcome Home To This Beautiful Freehold Townhome, In The Desirable West Oak Trails Community, Walkable To Many Top-Rated Schools. This Home Has Seen Many Updates Including Newer-A/C , Furnace , Windows, Kitchen & Washrooms Plus Very Nice Deck, Double Car Garage With Newer Door And Inside Entry. Parking For 4 On Driveway + 2 More Inside. Great Location, Shopping, Transit, Rec Centre & Oakville Hospital.","Basic Info
Property Type
House
Building Size
1,097.92 sq ft
Rooms
3 bedroom(s), 3 bathroom(s)
Address
2084 White Dove Circle, Oakville, Ontario L6M3R6",oakville,71.94,USD,3,3,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,796.53,"913 - 8 Lee Centre Drive, Toronto, Ontario M1H3H8",2259.0,"Monthly Rent Includes, Water, Hydro, A/C, Underground Parking, and full access to first-class Amenities such a Sauna, Indoor Pool, Games Rooms, Exercise Room.This bright and spacious condo apartment 2 bedrooms and 2 full bathrooms, features a functional layout, with a open concept living and dining area, modern kitchen, and in-unit laundry. The primary bedroom includes a private ensuite, and walk in closet.Located in a prime area of Scarborough, just minutes from Highway 401, Scarborough Town Centre, Lee Centre Park, and local shops including a pharmacy and salons.","Basic Info
Property Type
House
Building Size
796.53 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
913 - 8 Lee Centre Drive, Toronto, Ontario M1H3H8",toronto,60.39,USD,2,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,699.65,"1517 - 17 Anndale Drive, Toronto, Ontario M2N2W7",1972.0,"Brilliant corner unit on 15th Floor of luxurious Savvy Condominium. This perfect 1 Bedroom and Den is facing clear West view, has a great functional living space, in a condo with everything at your doorsteps. Suite has 720 SQ/FT of living space, open concept kitchen with granite countertop & backsplash and lots of cabinetry and storage, laminate flooring throughout and stainless Steel appliances. Condo has excellent amenities, Indoor Pool, Party, Exercise & Media Rooms, Sauna Guest Suites, 24 HR Concierge & Lots More. Steps to Sheppard Subway and public transportation, great shops and restaurants, great schools and minuets to transit Bus Terminal, and easy access to HWY 401.Parking and locker is included in the rent.","Basic Info
Outdoor Feature
Property Type
House
Building Size
699.65 sq ft
Rooms
2 bedroom(s), 1 bathroom(s)
Address
1517 - 17 Anndale Drive, Toronto, Ontario M2N2W7",toronto,60.39,USD,2,1,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,1991.32,"104 coolhurst Avenue, Brampton, Ontario L7A0B8",2510.0,"Brand new 4 bedroom, 4.5 bathroom . 2 car garage freehold townhome . high end finished, high end appliances. The open-concept kitchen is perfect for entertaining , Features 9 Ceilings, An Elegant Staircase, A Bright Great Room With An Upgraded Electric Fireplace, And A Modern Kitchen With Brand-New Appliances, Finished Basement With 4pc Bathroom, Main And Second Floor All Hardwood Floor. Close to All Amenities Including Shopping Mall , Park , Great community, close to parks, public transportation, School And Public Transit. Tenant Pays All Utilities Gas, Electricity, Water. Hot water Tank.","Basic Info
Property Type
House
Building Size
1,991.32 sq ft
Rooms
4 bedroom(s), 5 bathroom(s)
Address
104 coolhurst Avenue, Brampton, Ontario L7A0B8",brampton,66.22,USD,4,5,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,592.02,"705 - 125 Redpath Avenue, Toronto, Ontario M4S0B5",1757.0,"Rarely does an opportunity present itself to live in a large one bedroom & den condo (den has a door and functions as a second bedroom) with Two Full Bathrooms in the heart of Toronto. Well over 600sf with no waster space and a large balcony perfect for a relaxing morning coffee or entertaining guests. Laminate floors through out, quartz counter tops, top of the line appliances, and floor to ceiling windows. Perfect place for young professionals, couples, downsizers, or small families looking for the top school district in the city. Best of Toronto is just steps away incl: TTC, parks, restaurants, rec centres, shopping, and grocery stores. Resort Style amenities include a gym, part room, full time concierge, and visitor parking. Bring your fussiest clients as this property shows AAA.","Basic Info
Outdoor Feature
Property Type
House
Building Size
592.02 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
705 - 125 Redpath Avenue, Toronto, Ontario M4S0B5",toronto,60.39,USD,2,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,1097.92,"Unit 1 - 1169 Davenport Road, Toronto, Ontario M6H2G6",2618.0,"Newly Built 2 Bedrooms With High-End Finishes. Modern Kitchen With Open-Concept Living And Kitchen/Dining Room. High Ceilings, Radiant Heated Concrete Floors On The Lower Level.. Walker's Paradise, Close To Transit And, Parks.","Basic Info
Property Type
House
Building Size
1,097.92 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
Unit 1 - 1169 Davenport Road, Toronto, Ontario M6H2G6",toronto,60.39,USD,2,2,07/05/2025,2025-05-07,07/05/2025,2025-05-07
Apartment,1991.32,"3 - 65 Fairholt Road S, Hamilton, Ontario L8M2T5",1040.0,"Lovely Top Level Unit Available Immediately in Gibson/Stipley Neighbourhood. Quiet, Family Friendly Tree Lined Street. Plenty of Light Inside This Unit! Great Kitchen Space and Plenty of Storage In The Bathroom. Shared Laundry Space in Basement. Street Parking Only. Gas and Water Included. Air Conditioned.","Basic Info
Property Type
Apartment
Building Size
1,991.32 sq ft
Rooms
1 bedroom(s), 1 bathroom(s)
Address
3 - 65 Fairholt Road S, Hamilton, Ontario L8M2T5",hamilton,59.13,USD,1,1,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,699.65,"3006 - 10 Navy Wharf Court, Toronto, Ontario M5V3V2",2080.0,ALL Utilities & ALL Amenities are included in This Is Dream 1Br+Den Condo You've Been Waiting For To See CN Tower From The Unit A Spacious Slice Of Sky Just Steps From One Of The World's Most Recognised Landmarks Just Steps To TTC Tremendously Convenient To Everything Including The Financial District The Fashion District And Air Canada Centre This Bright 30th Floor Corner Suite Boasts Breathtaking Views & Is Upgraded Beautifully Enjoy downtown living in this inviting 1+1 condo Offering over 740SF of well-designed space,"Basic Info
Outdoor Feature
Property Type
House
Building Size
699.65 sq ft
Rooms
2 bedroom(s), 1 bathroom(s)
Address
3006 - 10 Navy Wharf Court, Toronto, Ontario M5V3V2",toronto,60.39,USD,2,1,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,699.65,"706 - 18 Hillcrest Avenue, Toronto, Ontario M2N6T5",1793.0,"Famous Empress Walk Direct Access To Subway And Empress Walk Mall Through Loblaws. Bright & Spacious, South Facing 1 + 1 Bedroom. 713 Sq Ft. Hugh Bedroom W/Walk In Closet. Laminate Floor Throughout And Excellent Condition. Very Practical And Spacious Layout. Direct Access To Subway, Theater, Shopping, Restaurants, Loblaws, And Much More. Prestige School Area (Mckee Ps / Earl Haig Ss). 1 Parking 1 Locker. No Pets, No Smoking","Basic Info
Outdoor Feature
Property Type
House
Building Size
699.65 sq ft
Rooms
2 bedroom(s), 1 bathroom(s)
Address
706 - 18 Hillcrest Avenue, Toronto, Ontario M2N6T5",toronto,60.39,USD,2,1,07/05/2025,2025-05-07,07/05/2025,2025-05-07
House,592.02,"622 - 35 Saranac Boulevard, Toronto, Ontario M6A2G5",1685.0,"One Bedroom + Den Unit With Parking. Amazing Location, Walking Distance To Lawrence West Subway Station, Shops, Restaurants. Close To Highway 401. Steps To Lawrence Plaza (24 Hr Metro, Shoppers Drug Mart, Winners), Library. Close To Allen Rd, Walk To Lawrence Square Mall, Yorkdale. Short Bus Ride To Subway Or Approx. 20 Mins Walk. Unit Includes: One Parking Spot, Balcony.Library, Party Room With Kitchen, Car Sharing, Daycare Next Door.","Basic Info
Property Type
House
Building Size
592.02 sq ft
Rooms
2 bedroom(s), 1 bathroom(s)
Address
622 - 35 Saranac Boulevard, Toronto, Ontario M6A2G5",toronto,60.39,USD,2,1,07/05/2025,2025-05-07,07/05/2025,2025-05-07
